2.323	651660
2.329	649958
2.334	648565
2.339	659520
2.344	648475
2.349	651670
2.355	652082
2.360	645376
2.366	650305
2.371	646719
2.376	652232
2.381	639942
2.387	646242
2.392	664751
2.397	644170
2.413	656708
2.418	653036
2.423	648045
2.428	659482
2.434	652910
2.439	660463
2.444	650236
2.449	650890
2.454	644904
2.460	649139
2.465	660721
2.470	661299
2.475	638612
2.481	648200
2.486	645102
2.491	648344
2.496	644802
2.501	661045
2.507	660009
2.512	645572
2.517	641219
2.522	652362
2.528	648935
2.533	668327
2.538	651379
2.543	650076
2.548	649027
2.554	648245
2.559	644633
2.564	647969
2.569	650294
2.575	643340
2.580	662738
2.585	647896
2.590	656032
2.596	657501
2.611	640095
2.616	646309
2.622	643514
2.627	648576
2.632	639913
2.637	653095
2.642	640877
2.648	650558
2.653	659720
2.658	654513
2.663	640587
2.669	645963
2.674	652190
2.679	647004
2.684	640177
2.690	635996
2.695	638360
2.700	646530
2.705	637449
2.710	650694
2.716	646210
2.721	646262
2.726	642343
2.731	642268
2.737	640909
2.742	646337
2.747	645761
2.752	643220
2.757	633944
2.763	639421
2.768	647432
2.773	646873
2.778	656879
2.784	648691
2.789	644752
2.794	649800
2.799	652179
2.815	626890
2.820	629708
2.825	631599
2.831	626778
2.836	609749
2.841	609361
2.846	623045
2.851	612421
2.857	624042
2.862	611064
2.867	625411
2.872	625649
2.878	633786
2.883	623028
2.888	629966
2.893	618563
2.898	617921
2.904	612457
2.910	626725
2.915	617159
2.920	604464
2.925	625292
2.930	632381
2.936	617162
2.941	625649
2.946	629224
2.951	626585
2.957	621969
2.962	613987
2.967	614615
2.972	616684
2.977	622464
2.983	624056
2.988	628471
2.993	623527
2.998	621692
3.014	642500
3.019	651051
3.024	642769
3.030	645529
3.035	661190
3.040	653723
3.045	653791
3.051	659517
3.056	643038
3.061	654282
3.066	638960
3.071	637985
3.077	650641
3.082	640714
3.087	645589
3.092	645494
3.098	641813
3.103	647224
3.108	644856
3.113	637114
3.119	642949
3.124	636896
3.129	639660
3.134	648873
3.139	634782
3.145	648334
3.150	631586
3.155	639044
3.160	629195
3.166	640185
3.171	642576
3.176	636235
3.181	631720
3.187	646370
3.192	632890
3.197	627537
3.213	636534
3.218	644738
3.223	643248
3.228	657743
3.234	647170
3.239	640215
3.244	640581
3.249	656228
3.254	649438
3.260	658072
3.265	639784
3.270	643169
3.275	652583
3.281	645623
3.286	645327
3.291	648487
3.296	648732
3.301	652062
3.307	645157
3.312	631540
3.317	652584
3.322	655015
3.328	642385
3.333	640167
3.338	650791
3.343	646393
3.348	633228
3.354	651671
3.359	644015
3.364	653664
3.369	644246
3.375	651776
3.380	635308
3.385	644757
3.390	643421
3.395	654808
3.411	623043
3.416	623043
3.422	609340
3.427	618008
3.432	627272
3.437	614741
3.442	613908
3.448	612767
3.453	608105
3.458	619633
3.463	620213
3.469	605919
3.474	609930
3.479	619417
3.484	601190
3.489	613330
3.495	613028
3.500	609215
3.505	623383
3.510	609215
3.516	622812
3.521	608491
3.526	618930
3.531	622473
3.536	609057
3.542	608605
3.547	626192
3.552	611498
3.557	623041
3.563	621432
3.568	603347
3.573	618242
3.578	611871
3.583	614372
3.589	607109
3.594	630705
3.599	611655
3.615	630330
3.620	635984
3.625	632573
3.630	628740
3.636	639523
3.641	651123
3.646	647755
3.651	639053
3.657	657062
3.662	638243
3.667	651072
3.672	644203
3.677	620401
3.683	644038
3.688	653833
3.693	643796
3.698	648556
3.704	645424
3.709	649757
3.714	651840
3.719	638582
3.724	652817
3.730	646613
3.735	628200
3.740	636086
3.745	633311
3.751	642339
3.756	658811
3.761	650036
3.766	647661
3.771	636330
3.777	644462
3.782	653733
3.787	649810
3.792	646384
3.798	660775
3.813	672799
3.818	673789
3.824	670703
3.829	675904
3.834	676156
3.839	681811
3.845	677235
3.850	671102
3.855	673680
3.860	681654
3.865	684565
3.871	687262
3.876	678873
3.881	693365
3.886	688478
3.892	703925
3.897	683269
3.902	687624
3.907	690085
3.912	687233
3.918	692554
3.923	688560
3.928	693027
3.933	696798
3.939	692413
3.944	698471
3.949	699087
3.954	699196
3.959	716433
3.965	697370
3.970	709355
3.975	710707
3.980	702435
3.986	713566
3.991	706962
3.996	706701
4.012	719084
4.017	706887
4.022	702655
4.027	704844
4.033	712038
4.038	694873
4.043	693296
4.048	719411
4.053	701973
4.059	712047
4.064	717594
4.069	716744
4.074	714268
4.080	714988
4.085	714265
4.090	718552
4.095	719474
4.101	721874
4.106	719343
4.111	724298
4.116	723939
4.121	733904
4.127	734383
4.132	732766
4.137	727677
4.142	724172
4.148	740355
4.153	733018
4.158	730770
4.163	735610
4.168	738875
4.174	735389
4.179	735160
4.184	717076
4.189	731995
4.195	729415
4.200	734415
4.215	731124
4.221	731554
4.226	740311
4.231	735409
4.236	754304
4.242	742796
4.247	747797
4.252	756665
4.257	747903
4.262	751214
4.268	753939
4.273	746168
4.278	751369
4.283	757055
4.289	736568
4.294	737176
4.299	736015
4.304	749697
4.309	743104
4.315	757058
4.320	764110
4.325	752903
4.330	754726
4.336	759736
4.341	762172
4.346	769308
4.351	760075
4.357	760696
4.362	769319
4.367	759583
4.372	763164
4.377	753646
4.383	758165
4.388	762676
4.393	766147
4.398	764879
4.414	751295
4.419	747057
4.424	730407
4.430	756816
4.435	759470
4.440	747936
4.445	736433
4.451	757109
4.456	752579
4.461	755767
4.466	747762
4.471	741245
4.477	748745
4.482	753078
4.487	758825
4.492	764418
4.498	772268
4.503	770964
4.508	765481
4.513	762855
4.518	746728
4.524	764934
4.529	784841
4.534	774108
4.539	768763
4.545	767137
4.550	775519
4.555	766812
4.560	775135
4.565	778728
4.571	767875
4.576	774793
4.581	780892
4.586	771063
4.592	775985
4.597	781621
4.613	803601
4.618	796223
4.623	809862
4.628	820485
4.633	810751
4.639	786229
4.644	798256
4.649	815318
4.654	804314
4.660	812436
4.665	809287
4.670	809888
4.675	825996
4.680	815895
4.686	826406
4.691	824818
4.696	815863
4.701	814672
4.707	806114
4.712	813128
4.717	805491
4.722	822746
4.727	832573
4.733	824739
4.738	830548
4.743	832542
4.748	841308
4.754	838386
4.759	828575
4.764	825055
4.769	822700
4.774	826949
4.780	819380
4.785	823282
4.790	834105
4.795	838145
4.811	845814
4.816	857104
4.822	847221
4.827	846758
4.832	836025
4.837	836784
4.842	857510
4.848	868415
4.853	857737
4.858	856487
4.863	848787
4.869	851295
4.874	847294
4.879	861082
4.884	866693
4.889	839263
4.895	868913
4.900	858507
4.905	852009
4.910	860373
4.916	852522
4.921	881467
